threat-crank.py 0.2.1
I: searching for industries that match .* credit.*|.* financ.*|.* bank.*|.* trading.*|.* stocks.*|.* forex.*|.* payment.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v14.1/enterprise-attack/enterprise-attack.json
Indrik Spider;credential-access
credential-access;T1003.001
Wizard Spider;persistence
persistence;T1136.001
FIN7;execution
execution;T1204.001
WIRTE;execution
execution;T1059.001
WIRTE;command-and-control
command-and-control;T1571
Wizard Spider;resource-development
resource-development;T1588.003
BlackTech;initial-access
initial-access;T1566.002
Earth Lusca;resource-development
resource-development;T1583.006
Silence;command-and-control
command-and-control;T1571
OilRig;credential-access
credential-access;T1555.004
Cobalt Group;initial-access
initial-access;T1566.001
APT38;impact
impact;T1486
Ember Bear;initial-access
initial-access;T1566.001
BlackTech;execution
execution;T1204.001
RTM;initial-access
initial-access;T1189
APT19;persistence
persistence;T1547.001
APT19;privilege-escalation
privilege-escalation;T1547.001
DarkVishnya;initial-access
initial-access;T1200
APT41;defense-evasion
defense-evasion;T1078
APT41;persistence
persistence;T1078
APT41;privilege-escalation
privilege-escalation;T1078
APT41;initial-access
initial-access;T1078
FIN10;defense-evasion
defense-evasion;T1070.004
FIN8;defense-evasion
defense-evasion;T1078
FIN8;persistence
persistence;T1078
FIN8;privilege-escalation
privilege-escalation;T1078
FIN8;initial-access
initial-access;T1078
APT38;discovery
discovery;T1033
BlackTech;resource-development
resource-development;T1588.003
FIN4;defense-evasion
defense-evasion;T1078
FIN4;persistence
persistence;T1078
FIN4;privilege-escalation
privilege-escalation;T1078
FIN4;initial-access
initial-access;T1078
Cobalt Group;command-and-control
command-and-control;T1105
FIN7;defense-evasion
defense-evasion;T1553.002
FIN7;defense-evasion
defense-evasion;T1078
FIN7;persistence
persistence;T1078
FIN7;privilege-escalation
privilege-escalation;T1078
FIN7;initial-access
initial-access;T1078
RTM;persistence
persistence;T1547.001
RTM;privilege-escalation
privilege-escalation;T1547.001
Tonto Team;discovery
discovery;T1135
FIN13;resource-development
resource-development;T1587.001
Earth Lusca;defense-evasion
defense-evasion;T1027.003
TA551;defense-evasion
defense-evasion;T1218.010
FIN13;defense-evasion
defense-evasion;T1078.001
FIN13;persistence
persistence;T1078.001
FIN13;privilege-escalation
privilege-escalation;T1078.001
FIN13;initial-access
initial-access;T1078.001
DarkVishnya;resource-development
resource-development;T1588.002
Indrik Spider;resource-development
resource-development;T1587.001
BlackTech;discovery
discovery;T1046
OilRig;discovery
discovery;T1082
FIN6;collection
collection;T1560.003
APT38;defense-evasion
defense-evasion;T1112
FIN13;command-and-control
command-and-control;T1572
FIN6;initial-access
initial-access;T1566.001
Earth Lusca;resource-development
resource-development;T1608.001
FIN4;execution
execution;T1059.005
WIRTE;execution
execution;T1059.005
FIN13;lateral-movement
lateral-movement;T1021.006
