threat-crank.py 0.2.1
I: searching for industries that match .* govern.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v11.1/enterprise-attack/enterprise-attack.json
Operation Wocao;lateral-movement
lateral-movement;T1021.002
lateral-movement;CAPEC-561
Tropic Trooper;discovery
discovery;T1518
discovery;CAPEC-580
APT29;collection
collection;T1114.002
Kimsuky;reconnaissance
reconnaissance;T1594
Operation Wocao;credential-access
credential-access;T1111
Threat Group-3390;credential-access
credential-access;T1003.002
Windshift;defense-evasion
defense-evasion;T1036
defense-evasion;CAPEC-177
UNC2452;credential-access
credential-access;T1606.001
Stealth Falcon;exfiltration
exfiltration;T1041
Ke3chang;execution
execution;T1059
Fox Kitten;persistence
persistence;T1505.003
persistence;CAPEC-650
Dragonfly;reconnaissance
reconnaissance;T1598.003
Dragonfly;resource-development
resource-development;T1584.004
Patchwork;initial-access
initial-access;T1566.001
initial-access;CAPEC-163
APT29;collection
collection;T1005
Mustang Panda;execution
execution;T1204.001
Stealth Falcon;discovery
discovery;T1057
discovery;CAPEC-573
Turla;defense-evasion
defense-evasion;T1055.001
Turla;privilege-escalation
privilege-escalation;T1055.001
UNC2452;initial-access
initial-access;T1195.002
Ke3chang;discovery
discovery;T1069.002
Andariel;execution
execution;T1204.002
Turla;command-and-control
command-and-control;T1090.001
APT29;execution
execution;T1047
Magic Hound;collection
collection;T1560.001
Mofang;execution
execution;T1204.001
APT32;defense-evasion
defense-evasion;T1550.003
defense-evasion;CAPEC-645
APT32;lateral-movement
lateral-movement;T1550.003
lateral-movement;CAPEC-645
Leafminer;credential-access
credential-access;T1110.003
credential-access;CAPEC-565
APT32;defense-evasion
defense-evasion;T1216.001
BRONZE BUTLER;command-and-control
command-and-control;T1102.001
APT29;defense-evasion
defense-evasion;T1553.005
Aquatic Panda;reconnaissance
reconnaissance;T1595.002
Mustang Panda;execution
execution;T1053.005
Mustang Panda;persistence
persistence;T1053.005
Mustang Panda;privilege-escalation
privilege-escalation;T1053.005
Turla;resource-development
resource-development;T1584.006
APT32;defense-evasion
defense-evasion;T1036
defense-evasion;CAPEC-177
Kimsuky;execution
execution;T1059.001
Sidewinder;execution
execution;T1204.001
Tropic Trooper;defense-evasion
defense-evasion;T1221
Stealth Falcon;execution
execution;T1053.005
Stealth Falcon;persistence
persistence;T1053.005
Stealth Falcon;privilege-escalation
privilege-escalation;T1053.005
Gorgon Group;command-and-control
command-and-control;T1105
Dragonfly;command-and-control
command-and-control;T1105
UNC2452;execution
execution;T1053.005
UNC2452;persistence
persistence;T1053.005
UNC2452;privilege-escalation
privilege-escalation;T1053.005
Operation Wocao;execution
execution;T1059.006
BRONZE BUTLER;initial-access
initial-access;T1189
Turla;collection
collection;T1025
Deep Panda;execution
execution;T1059.001
Operation Wocao;discovery
discovery;T1012
discovery;CAPEC-647
Naikon;execution
execution;T1053.005
Naikon;persistence
persistence;T1053.005
Naikon;privilege-escalation
privilege-escalation;T1053.005
APT29;initial-access
initial-access;T1566.002
initial-access;CAPEC-163
Threat Group-3390;persistence
persistence;T1574.002
persistence;CAPEC-641
Threat Group-3390;privilege-escalation
privilege-escalation;T1574.002
privilege-escalation;CAPEC-641
Threat Group-3390;defense-evasion
defense-evasion;T1574.002
defense-evasion;CAPEC-641
Turla;command-and-control
command-and-control;T1102
Turla;defense-evasion
defense-evasion;T1112
defense-evasion;CAPEC-203
Leviathan;defense-evasion
defense-evasion;T1078
defense-evasion;CAPEC-560
Leviathan;persistence
persistence;T1078
persistence;CAPEC-560
Leviathan;privilege-escalation
privilege-escalation;T1078
privilege-escalation;CAPEC-560
Leviathan;initial-access
initial-access;T1078
initial-access;CAPEC-560
Tonto Team;command-and-control
command-and-control;T1090.002
Aquatic Panda;persistence
persistence;T1574.001
persistence;CAPEC-471
Aquatic Panda;privilege-escalation
privilege-escalation;T1574.001
privilege-escalation;CAPEC-471
Aquatic Panda;defense-evasion
defense-evasion;T1574.001
defense-evasion;CAPEC-471
UNC2452;defense-evasion
defense-evasion;T1484.002
UNC2452;privilege-escalation
privilege-escalation;T1484.002
Kimsuky;defense-evasion
defense-evasion;T1564.003
APT29;privilege-escalation
privilege-escalation;T1546.003
APT29;persistence
persistence;T1546.003
APT32;execution
execution;T1569.002
Windshift;discovery
discovery;T1033
discovery;CAPEC-577
APT29;command-and-control
command-and-control;T1090.004
command-and-control;CAPEC-481
The White Company;discovery
discovery;T1518.001
discovery;CAPEC-581
Patchwork;defense-evasion
defense-evasion;T1070.004
Confucius;command-and-control
command-and-control;T1071.001
Operation Wocao;credential-access
credential-access;T1555.005
Higaisa;discovery
discovery;T1057
discovery;CAPEC-573
MuddyWater;command-and-control
command-and-control;T1105
Ke3chang;discovery
discovery;T1082
discovery;CAPEC-312
Silent Librarian;resource-development
resource-development;T1588.004
Tropic Trooper;defense-evasion
defense-evasion;T1140
MuddyWater;discovery
discovery;T1057
discovery;CAPEC-573
Dragonfly;reconnaissance
reconnaissance;T1591.002
BRONZE BUTLER;defense-evasion
defense-evasion;T1550.003
defense-evasion;CAPEC-645
BRONZE BUTLER;lateral-movement
lateral-movement;T1550.003
lateral-movement;CAPEC-645
Dragonfly;discovery
discovery;T1069.002
APT29;defense-evasion
defense-evasion;T1070.006
APT29;discovery
discovery;T1069.002
OilRig;exfiltration
exfiltration;T1048.003
DarkHydrus;credential-access
credential-access;T1187
Windshift;command-and-control
command-and-control;T1105
Threat Group-3390;collection
collection;T1119
APT32;defense-evasion
defense-evasion;T1564.003
Threat Group-3390;defense-evasion
defense-evasion;T1078
defense-evasion;CAPEC-560
Threat Group-3390;persistence
persistence;T1078
persistence;CAPEC-560
Threat Group-3390;privilege-escalation
privilege-escalation;T1078
privilege-escalation;CAPEC-560
Threat Group-3390;initial-access
initial-access;T1078
initial-access;CAPEC-560
MuddyWater;initial-access
initial-access;T1566.002
initial-access;CAPEC-163
PLATINUM;command-and-control
command-and-control;T1105
APT29;command-and-control
command-and-control;T1043
Tropic Trooper;exfiltration
exfiltration;T1052.001
Fox Kitten;lateral-movement
lateral-movement;T1021.002
lateral-movement;CAPEC-561
BRONZE BUTLER;execution
execution;T1059.003
Machete;defense-evasion
defense-evasion;T1036.005
defense-evasion;CAPEC-177
Inception;command-and-control
command-and-control;T1102
Magic Hound;command-and-control
command-and-control;T1071
MuddyWater;execution
execution;T1047
Sowbug;collection
collection;T1039
collection;CAPEC-639
Dragonfly;lateral-movement
lateral-movement;T1210
APT12;execution
execution;T1203
UNC2452;collection
collection;T1560.001
Leviathan;execution
execution;T1204.002
UNC2452;command-and-control
command-and-control;T1071.001
Tonto Team;credential-access
credential-access;T1003
OilRig;discovery
discovery;T1201
APT-C-36;execution
execution;T1059.005
Turla;discovery
discovery;T1120
discovery;CAPEC-646
Tropic Trooper;command-and-control
command-and-control;T1071.004
MuddyWater;credential-access
credential-access;T1003.001
Andariel;reconnaissance
reconnaissance;T1590.005
Higaisa;persistence
persistence;T1547.001
persistence;CAPEC-270
Higaisa;privilege-escalation
privilege-escalation;T1547.001
privilege-escalation;CAPEC-270
Higaisa;execution
execution;T1053.005
Higaisa;persistence
persistence;T1053.005
Higaisa;privilege-escalation
privilege-escalation;T1053.005
Operation Wocao;discovery
discovery;T1057
discovery;CAPEC-573
Turla;credential-access
credential-access;T1555.004
Patchwork;resource-development
resource-development;T1587.002
Naikon;discovery
discovery;T1518.001
discovery;CAPEC-581
The White Company;execution
execution;T1204.002
Leviathan;defense-evasion
defense-evasion;T1140
APT29;command-and-control
command-and-control;T1573
Patchwork;execution
execution;T1204.001
APT29;collection
collection;T1560.001
OilRig;execution
execution;T1059.005
Mustang Panda;defense-evasion
defense-evasion;T1564.001
Leviathan;execution
execution;T1059.005
APT29;persistence
persistence;T1547.009
persistence;CAPEC-132
APT29;privilege-escalation
privilege-escalation;T1547.009
privilege-escalation;CAPEC-132
BRONZE BUTLER;command-and-control
command-and-control;T1071.001
Windshift;discovery
discovery;T1057
discovery;CAPEC-573
Machete;defense-evasion
defense-evasion;T1218.007
APT29;discovery
discovery;T1082
discovery;CAPEC-312
BRONZE BUTLER;discovery
discovery;T1124
discovery;CAPEC-295
Magic Hound;execution
execution;T1059.003
OilRig;discovery
discovery;T1016
discovery;CAPEC-309
APT29;resource-development
resource-development;T1583.001
resource-development;CAPEC-630
APT32;collection
collection;T1056.001
collection;CAPEC-568
APT32;credential-access
credential-access;T1056.001
credential-access;CAPEC-568
Mustang Panda;execution
execution;T1204.002
MuddyWater;command-and-control
command-and-control;T1219
Ke3chang;credential-access
credential-access;T1558.001
Magic Hound;persistence
persistence;T1098.002
Mofang;initial-access
initial-access;T1566.002
initial-access;CAPEC-163
Andariel;discovery
discovery;T1049
Operation Wocao;discovery
discovery;T1083
discovery;CAPEC-127
discovery;CAPEC-497
Andariel;resource-development
resource-development;T1588.001
Leviathan;execution
execution;T1047
MuddyWater;credential-access
credential-access;T1555
Sidewinder;discovery
discovery;T1518.001
discovery;CAPEC-581
Threat Group-3390;persistence
persistence;T1574.001
persistence;CAPEC-471
Threat Group-3390;privilege-escalation
privilege-escalation;T1574.001
privilege-escalation;CAPEC-471
Threat Group-3390;defense-evasion
defense-evasion;T1574.001
defense-evasion;CAPEC-471
Confucius;discovery
discovery;T1082
discovery;CAPEC-312
Gallmaker;execution
execution;T1059.001
UNC2452;discovery
discovery;T1016.001
Inception;initial-access
initial-access;T1566.001
initial-access;CAPEC-163
Patchwork;execution
execution;T1204.002
Mustang Panda;defense-evasion
defense-evasion;T1027
defense-evasion;CAPEC-267
OilRig;initial-access
initial-access;T1566.001
initial-access;CAPEC-163
OilRig;credential-access
credential-access;T1003.005
Threat Group-3390;collection
collection;T1560.002
Stealth Falcon;credential-access
credential-access;T1555
APT32;discovery
discovery;T1046
discovery;CAPEC-300
Tropic Trooper;defense-evasion
defense-evasion;T1036.005
defense-evasion;CAPEC-177
Patchwork;execution
execution;T1059.003
Mustang Panda;command-and-control
command-and-control;T1105
