threat-crank.py 0.2.1
I: searching for industries that match .* military.*|.* defen[cs]e.*|.* armed.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v7.0/enterprise-attack/enterprise-attack.json
menuPass;execution
execution;T1047
Ke3chang;collection
collection;T1005
APT19;discovery
discovery;T1016
discovery;CAPEC-309
Ke3chang;discovery
discovery;T1007
discovery;CAPEC-574
APT19;execution
execution;T1204.002
Deep Panda;defense-evasion
defense-evasion;T1218.010
Elderwood;defense-evasion
defense-evasion;T1027.002
defense-evasion;CAPEC-570
Threat Group-3390;discovery
discovery;T1018
discovery;CAPEC-292
Ke3chang;collection
collection;T1560.001
Magic Hound;command-and-control
command-and-control;T1043
APT1;credential-access
credential-access;T1003.001
Leviathan;execution
execution;T1059.003
menuPass;credential-access
credential-access;T1003.002
Deep Panda;execution
execution;T1047
Threat Group-3390;discovery
discovery;T1087.001
APT1;lateral-movement
lateral-movement;T1021.001
lateral-movement;CAPEC-555
Elderwood;initial-access
initial-access;T1195
initial-access;CAPEC-437
initial-access;CAPEC-438
initial-access;CAPEC-439
APT19;command-and-control
command-and-control;T1071.001
APT1;collection
collection;T1005
Turla;credential-access
credential-access;T1110
credential-access;CAPEC-49
Magic Hound;discovery
discovery;T1083
Turla;initial-access
initial-access;T1566.002
initial-access;CAPEC-163
APT1;collection
collection;T1560.001
Turla;discovery
discovery;T1012
discovery;CAPEC-647
APT19;command-and-control
command-and-control;T1043
Magic Hound;command-and-control
command-and-control;T1105
Magic Hound;execution
execution;T1059.005
Ke3chang;discovery
discovery;T1082
discovery;CAPEC-312
Magic Hound;collection
collection;T1114.001
APT1;execution
execution;T1059.003
Turla;execution
execution;T1059.001
Deep Panda;defense-evasion
defense-evasion;T1027.005
menuPass;defense-evasion
defense-evasion;T1078
defense-evasion;CAPEC-560
menuPass;persistence
persistence;T1078
persistence;CAPEC-560
menuPass;privilege-escalation
privilege-escalation;T1078
privilege-escalation;CAPEC-560
menuPass;initial-access
initial-access;T1078
initial-access;CAPEC-560
Deep Panda;lateral-movement
lateral-movement;T1021.002
lateral-movement;CAPEC-561
Ke3chang;discovery
discovery;T1069.002
menuPass;discovery
discovery;T1016
discovery;CAPEC-309
Leviathan;defense-evasion
defense-evasion;T1197
Leviathan;persistence
persistence;T1197
Threat Group-3390;command-and-control
command-and-control;T1105
Deep Panda;discovery
discovery;T1018
discovery;CAPEC-292
APT19;command-and-control
