threat-crank.py 0.2.1
I: searching for industries that match .* pharma.*|.* health.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v9.0/enterprise-attack/enterprise-attack.json
APT19;discovery
discovery;T1016
discovery;CAPEC-309
APT19;execution
execution;T1204.002
Deep Panda;defense-evasion
defense-evasion;T1218.010
Deep Panda;execution
execution;T1047
APT19;command-and-control
command-and-control;T1071.001
Turla;credential-access
credential-access;T1110
credential-access;CAPEC-49
Turla;initial-access
initial-access;T1566.002
initial-access;CAPEC-163
Turla;discovery
discovery;T1012
discovery;CAPEC-647
APT19;command-and-control
command-and-control;T1043
Turla;execution
execution;T1059.001
Deep Panda;defense-evasion
defense-evasion;T1027.005
Deep Panda;lateral-movement
lateral-movement;T1021.002
lateral-movement;CAPEC-561
Deep Panda;discovery
discovery;T1018
discovery;CAPEC-292
APT19;command-and-control
command-and-control;T1132.001
Turla;discovery
discovery;T1007
discovery;CAPEC-574
Turla;discovery
discovery;T1083
discovery;CAPEC-127
discovery;CAPEC-497
Turla;persistence
persistence;T1547.001
persistence;CAPEC-270
Turla;privilege-escalation
privilege-escalation;T1547.001
privilege-escalation;CAPEC-270
Turla;command-and-control
command-and-control;T1102.002
Turla;defense-evasion
defense-evasion;T1055
defense-evasion;CAPEC-640
Turla;privilege-escalation
privilege-escalation;T1055
privilege-escalation;CAPEC-640
Tropic Trooper;defense-evasion
defense-evasion;T1564.001
FIN4;execution
execution;T1204.002
APT19;defense-evasion
defense-evasion;T1218.010
FIN4;collection
collection;T1056.002
collection;CAPEC-659
FIN4;credential-access
credential-access;T1056.002
credential-access;CAPEC-659
Tropic Trooper;defense-evasion
defense-evasion;T1140
FIN4;defense-evasion
defense-evasion;T1078
defense-evasion;CAPEC-560
FIN4;persistence
persistence;T1078
persistence;CAPEC-560
FIN4;privilege-escalation
privilege-escalation;T1078
privilege-escalation;CAPEC-560
FIN4;initial-access
initial-access;T1078
initial-access;CAPEC-560
Turla;execution
execution;T1204.001
FIN4;command-and-control
command-and-control;T1090.003
APT19;execution
execution;T1059
Turla;command-and-control
command-and-control;T1105
APT19;discovery
discovery;T1082
discovery;CAPEC-312
Orangeworm;lateral-movement
lateral-movement;T1021.002
lateral-movement;CAPEC-561
APT19;defense-evasion
defense-evasion;T1218.011
APT19;persistence
persistence;T1547.001
persistence;CAPEC-270
APT19;privilege-escalation
privilege-escalation;T1547.001
privilege-escalation;CAPEC-270
APT19;discovery
discovery;T1033
discovery;CAPEC-577
APT19;persistence
