threat-crank.py 0.2.1
I: searching for industries that match .* servic.*|.* ISP.*|.* MSP.*|.* provid.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v12.0/enterprise-attack/enterprise-attack.json
Dragonfly;defense-evasion
defense-evasion;T1036
defense-evasion;CAPEC-177
APT29;defense-evasion
defense-evasion;T1562.002
APT28;defense-evasion
defense-evasion;T1550.002
defense-evasion;CAPEC-644
APT28;lateral-movement
lateral-movement;T1550.002
lateral-movement;CAPEC-644
HEXANE;execution
execution;T1059.005
Dragonfly;execution
execution;T1059.006
APT28;command-and-control
command-and-control;T1071.001
APT28;defense-evasion
defense-evasion;T1140
APT29;execution
execution;T1204.001
Dragonfly;execution
execution;T1059
FIN7;collection
collection;T1005
Dragonfly;defense-evasion
defense-evasion;T1564.002
Elderwood;initial-access
initial-access;T1566.001
initial-access;CAPEC-163
Dragonfly;collection
collection;T1005
APT29;persistence
persistence;T1098.002
APT29;privilege-escalation
privilege-escalation;T1546.008
privilege-escalation;CAPEC-558
APT29;persistence
persistence;T1546.008
persistence;CAPEC-558
HEXANE;credential-access
credential-access;T1555.003
APT19;command-and-control
command-and-control;T1132.001
APT28;persistence
persistence;T1542.003
persistence;CAPEC-552
APT28;defense-evasion
defense-evasion;T1542.003
defense-evasion;CAPEC-552
FIN7;command-and-control
command-and-control;T1571
APT29;defense-evasion
defense-evasion;T1218.011
Dragonfly;persistence
persistence;T1133
persistence;CAPEC-555
Dragonfly;initial-access
initial-access;T1133
initial-access;CAPEC-555
APT28;defense-evasion
defense-evasion;T1550.001
defense-evasion;CAPEC-593
APT28;lateral-movement
lateral-movement;T1550.001
lateral-movement;CAPEC-593
Dragonfly;persistence
persistence;T1505.003
persistence;CAPEC-650
APT29;initial-access
initial-access;T1195.002
APT29;lateral-movement
lateral-movement;T1021.006
APT29;credential-access
credential-access;T1649
APT29;discovery
discovery;T1069
discovery;CAPEC-576
Dragonfly;credential-access
credential-access;T1003.002
APT29;persistence
persistence;T1547.001
persistence;CAPEC-270
APT29;privilege-escalation
privilege-escalation;T1547.001
privilege-escalation;CAPEC-270
APT28;defense-evasion
defense-evasion;T1070.006
Machete;execution
execution;T1053.005
Machete;persistence
persistence;T1053.005
Machete;privilege-escalation
privilege-escalation;T1053.005
APT28;collection
collection;T1114.002
APT29;credential-access
credential-access;T1110.003
credential-access;CAPEC-565
APT29;initial-access
initial-access;T1566.003
initial-access;CAPEC-163
Machete;execution
execution;T1059.005
GOLD SOUTHFIELD;initial-access
initial-access;T1199
Dragonfly;execution
execution;T1203
HEXANE;reconnaissance
reconnaissance;T1589.002
APT28;defense-evasion
defense-evasion;T1078
defense-evasion;CAPEC-560
APT28;persistence
persistence;T1078
persistence;CAPEC-560
APT28;privilege-escalation
privilege-escalation;T1078
privilege-escalation;CAPEC-560
APT28;initial-access
initial-access;T1078
initial-access;CAPEC-560
APT28;collection
collection;T1039
collection;CAPEC-639
APT29;defense-evasion
defense-evasion;T1036
defense-evasion;CAPEC-177
Dragonfly;execution
execution;T1059.001
HEXANE;resource-development
resource-development;T1583.001
resource-development;CAPEC-630
FIN7;command-and-control
command-and-control;T1071.004
APT28;initial-access
initial-access;T1199
HEXANE;reconnaissance
reconnaissance;T1589
APT29;collection
collection;T1213.003
FIN7;lateral-movement
lateral-movement;T1021.005
lateral-movement;CAPEC-555
HEXANE;resource-development
resource-development;T1585.001
FIN7;defense-evasion
defense-evasion;T1218.005
APT29;defense-evasion
defense-evasion;T1218.005
APT19;defense-evasion
defense-evasion;T1564.003
APT29;persistence
persistence;T1098.001
APT28;collection
collection;T1113
collection;CAPEC-648
APT28;defense-evasion
defense-evasion;T1134.001
APT28;privilege-escalation
privilege-escalation;T1134.001
Dragonfly;persistence
persistence;T1098
Dragonfly;credential-access
credential-access;T1110.002
credential-access;CAPEC-55
APT28;lateral-movement
lateral-movement;T1021.002
lateral-movement;CAPEC-561
APT29;defense-evasion
defense-evasion;T1078
defense-evasion;CAPEC-560
APT29;persistence
persistence;T1078
persistence;CAPEC-560
APT29;privilege-escalation
privilege-escalation;T1078
privilege-escalation;CAPEC-560
APT29;initial-access
initial-access;T1078
initial-access;CAPEC-560
APT29;credential-access
credential-access;T1621
APT29;resource-development
resource-development;T1584.001
APT28;collection
collection;T1560.001
Dragonfly;collection
collection;T1114.002
APT28;command-and-control
command-and-control;T1090.002
Dragonfly;initial-access
initial-access;T1190
Machete;execution
execution;T1204.001
Elderwood;execution
execution;T1204.001
APT28;defense-evasion
defense-evasion;T1221
FIN7;execution
execution;T1559.002
FIN7;lateral-movement
lateral-movement;T1021.001
lateral-movement;CAPEC-555
APT29;privilege-escalation
privilege-escalation;T1068
HEXANE;resource-development
resource-development;T1585.002
FIN7;collection
collection;T1113
collection;CAPEC-648
APT29;command-and-control
command-and-control;T1095
HEXANE;exfiltration
exfiltration;T1567.002
APT29;command-and-control
command-and-control;T1102.002
Dragonfly;resource-development
resource-development;T1608.004
APT29;resource-development
resource-development;T1587.001
Dragonfly;resource-development
resource-development;T1588.002
Machete;initial-access
initial-access;T1566.001
initial-access;CAPEC-163
APT28;credential-access
credential-access;T1110.001
credential-access;CAPEC-49
Elderwood;command-and-control
command-and-control;T1105
APT19;defense-evasion
defense-evasion;T1027
defense-evasion;CAPEC-267
FIN7;initial-access
initial-access;T1566.002
initial-access;CAPEC-163
HEXANE;resource-development
resource-development;T1583.002
APT28;persistence
persistence;T1098.002
APT29;defense-evasion
defense-evasion;T1027.006
APT28;reconnaissance
reconnaissance;T1598
FIN7;execution
execution;T1059
APT29;initial-access
initial-access;T1566.001
initial-access;CAPEC-163
HEXANE;reconnaissance
reconnaissance;T1591.004
HEXANE;lateral-movement
lateral-movement;T1534
GOLD SOUTHFIELD;command-and-control
command-and-control;T1219
APT29;lateral-movement
lateral-movement;T1021.002
lateral-movement;CAPEC-561
APT29;command-and-control
command-and-control;T1090.003
APT28;collection
collection;T1056.001
collection;CAPEC-568
APT28;credential-access
credential-access;T1056.001
credential-access;CAPEC-568
APT29;defense-evasion
defense-evasion;T1070
defense-evasion;CAPEC-93
APT29;credential-access
credential-access;T1606.002
APT28;command-and-control
command-and-control;T1105
APT29;privilege-escalation
privilege-escalation;T1546.003
APT29;persistence
persistence;T1546.003
Dragonfly;defense-evasion
defense-evasion;T1112
defense-evasion;CAPEC-203
APT19;execution
execution;T1059
APT19;execution
execution;T1204.002
APT28;execution
execution;T1059.001
FIN7;execution
execution;T1059.003
GCMAN;lateral-movement
lateral-movement;T1021.005
lateral-movement;CAPEC-555
APT19;resource-development
resource-development;T1588.002
APT29;defense-evasion
defense-evasion;T1484.002
APT29;privilege-escalation
privilege-escalation;T1484.002
HEXANE;command-and-control
command-and-control;T1102.002
APT19;persistence
persistence;T1543.003
persistence;CAPEC-478
persistence;CAPEC-550
persistence;CAPEC-551
APT19;privilege-escalation
privilege-escalation;T1543.003
privilege-escalation;CAPEC-478
privilege-escalation;CAPEC-550
privilege-escalation;CAPEC-551
Dragonfly;defense-evasion
defense-evasion;T1562.004
APT29;defense-evasion
defense-evasion;T1036.005
defense-evasion;CAPEC-177
FIN7;collection
collection;T1125
collection;CAPEC-634
APT28;resource-development
resource-development;T1588.002
HEXANE;execution
execution;T1204.002
Dragonfly;resource-development
resource-development;T1583.003
APT29;defense-evasion
defense-evasion;T1078.003
APT29;persistence
persistence;T1078.003
APT29;privilege-escalation
privilege-escalation;T1078.003
APT29;initial-access
initial-access;T1078.003
APT29;defense-evasion
defense-evasion;T1140
Elderwood;defense-evasion
defense-evasion;T1027.002
defense-evasion;CAPEC-570
APT28;execution
execution;T1204.002
APT29;discovery
discovery;T1016.001
HEXANE;credential-access
credential-access;T1110
credential-access;CAPEC-49
APT19;defense-evasion
defense-evasion;T1218.011
HEXANE;discovery
discovery;T1057
discovery;CAPEC-573
APT28;reconnaissance
reconnaissance;T1589.001
FIN7;command-and-control
command-and-control;T1105
HEXANE;discovery
discovery;T1016.001
APT19;discovery
discovery;T1016
discovery;CAPEC-309
FIN7;credential-access
credential-access;T1558.003
credential-access;CAPEC-509
Dragonfly;reconnaissance
reconnaissance;T1595.002
APT29;reconnaissance
reconnaissance;T1589.001
GOLD SOUTHFIELD;execution
execution;T1059.001
Elderwood;defense-evasion
defense-evasion;T1027
defense-evasion;CAPEC-267
APT29;credential-access
credential-access;T1555
FIN7;defense-evasion
defense-evasion;T1497.002
FIN7;discovery
discovery;T1497.002
Dragonfly;execution
execution;T1053.005
Dragonfly;persistence
persistence;T1053.005
Dragonfly;privilege-escalation
privilege-escalation;T1053.005
APT28;execution
execution;T1559.002
APT29;defense-evasion
defense-evasion;T1553.005
APT29;execution
execution;T1059.005
APT29;defense-evasion
defense-evasion;T1550.003
defense-evasion;CAPEC-645
APT29;lateral-movement
lateral-movement;T1550.003
lateral-movement;CAPEC-645
GOLD SOUTHFIELD;collection
collection;T1113
collection;CAPEC-648
FIN7;exfiltration
exfiltration;T1567.002
APT29;persistence
persistence;T1505.003
persistence;CAPEC-650
APT28;privilege-escalation
privilege-escalation;T1068
Dragonfly;discovery
discovery;T1135
discovery;CAPEC-643
APT29;collection
collection;T1213
Dragonfly;reconnaissance
reconnaissance;T1598.002
APT28;defense-evasion
defense-evasion;T1027
defense-evasion;CAPEC-267
Machete;execution
execution;T1059.006
HEXANE;discovery
discovery;T1518
discovery;CAPEC-580
GOLD SOUTHFIELD;defense-evasion
defense-evasion;T1027
defense-evasion;CAPEC-267
GCMAN;lateral-movement
lateral-movement;T1021.004
lateral-movement;CAPEC-555
HEXANE;discovery
discovery;T1010
APT28;discovery
discovery;T1083
discovery;CAPEC-127
discovery;CAPEC-497
APT28;credential-access
credential-access;T1003
APT28;reconnaissance
reconnaissance;T1595.002
APT28;defense-evasion
defense-evasion;T1014
defense-evasion;CAPEC-552
FIN7;persistence
persistence;T1547.001
persistence;CAPEC-270
FIN7;privilege-escalation
privilege-escalation;T1547.001
privilege-escalation;CAPEC-270
FIN7;defense-evasion
defense-evasion;T1036.005
defense-evasion;CAPEC-177
APT29;persistence
persistence;T1098.005
FIN7;execution
execution;T1059.007
APT29;execution
execution;T1204.002
HEXANE;credential-access
credential-access;T1110.003
credential-access;CAPEC-565
APT28;persistence
persistence;T1137.002
APT28;collection
collection;T1074.002
APT29;defense-evasion
defense-evasion;T1070.006
FIN7;lateral-movement
lateral-movement;T1091
FIN7;initial-access
initial-access;T1091
Dragonfly;collection
collection;T1560
FIN7;command-and-control
command-and-control;T1008
FIN7;privilege-escalation
privilege-escalation;T1546.011
FIN7;persistence
persistence;T1546.011
APT19;persistence
persistence;T1547.001
persistence;CAPEC-270
APT19;privilege-escalation
privilege-escalation;T1547.001
privilege-escalation;CAPEC-270
FIN7;execution
execution;T1053.005
FIN7;persistence
persistence;T1053.005
FIN7;privilege-escalation
privilege-escalation;T1053.005
APT29;defense-evasion
defense-evasion;T1070.004
FIN7;defense-evasion
defense-evasion;T1553.002
FIN7;persistence
persistence;T1543.003
persistence;CAPEC-478
persistence;CAPEC-550
persistence;CAPEC-551
FIN7;privilege-escalation
privilege-escalation;T1543.003
privilege-escalation;CAPEC-478
privilege-escalation;CAPEC-550
privilege-escalation;CAPEC-551
Dragonfly;defense-evasion
defense-evasion;T1221
Dragonfly;discovery
discovery;T1087.002
discovery;CAPEC-575
APT28;persistence
persistence;T1547.001
persistence;CAPEC-270
APT28;privilege-escalation
privilege-escalation;T1547.001
privilege-escalation;CAPEC-270
APT28;resource-development
resource-development;T1586.002
APT28;defense-evasion
defense-evasion;T1078.004
APT28;persistence
persistence;T1078.004
APT28;privilege-escalation
privilege-escalation;T1078.004
APT28;initial-access
initial-access;T1078.004
Machete;defense-evasion
defense-evasion;T1218.007
APT29;resource-development
resource-development;T1588.002
APT19;execution
execution;T1059.001
APT29;resource-development
resource-development;T1583.001
resource-development;CAPEC-630
APT29;defense-evasion
defense-evasion;T1036.004
Dragonfly;reconnaissance
reconnaissance;T1591.002
APT28;command-and-control
command-and-control;T1573.001
Dragonfly;discovery
discovery;T1069.002
APT29;credential-access
credential-access;T1555.003
APT29;defense-evasion
defense-evasion;T1553.002
FIN7;execution
execution;T1204.002
HEXANE;execution
execution;T1053.005
HEXANE;persistence
persistence;T1053.005
HEXANE;privilege-escalation
privilege-escalation;T1053.005
Dragonfly;collection
collection;T1074.001
APT28;initial-access
initial-access;T1189
APT28;defense-evasion
defense-evasion;T1036
defense-evasion;CAPEC-177
APT28;defense-evasion
defense-evasion;T1564.003
FIN7;execution
execution;T1204.001
APT28;collection
collection;T1560
APT29;discovery
discovery;T1082
discovery;CAPEC-312
FIN7;resource-development
resource-development;T1587.001
APT28;discovery
discovery;T1057
discovery;CAPEC-573
APT28;exfiltration
exfiltration;T1048.002
APT28;defense-evasion
defense-evasion;T1564.001
APT29;discovery
discovery;T1087.004
Dragonfly;persistence
persistence;T1136.001
Machete;execution
execution;T1204.002
APT29;resource-development
resource-development;T1586.002
Elderwood;execution
execution;T1203
APT29;privilege-escalation
privilege-escalation;T1548.002
APT29;defense-evasion
defense-evasion;T1548.002
APT28;credential-access
credential-access;T1528
APT28;execution
execution;T1204.001
APT28;credential-access
credential-access;T1040
credential-access;CAPEC-158
APT28;discovery
discovery;T1040
discovery;CAPEC-158
APT29;initial-access
initial-access;T1190
APT28;defense-evasion
defense-evasion;T1070.004
Dragonfly;defense-evasion
defense-evasion;T1070.004
APT28;resource-development
resource-development;T1583.006
HEXANE;defense-evasion
defense-evasion;T1027
defense-evasion;CAPEC-267
APT29;defense-evasion
defense-evasion;T1078.002
defense-evasion;CAPEC-560
APT29;persistence
persistence;T1078.002
persistence;CAPEC-560
APT29;privilege-escalation
privilege-escalation;T1078.002
privilege-escalation;CAPEC-560
APT29;initial-access
initial-access;T1078.002
initial-access;CAPEC-560
APT28;resource-development
resource-development;T1583.001
resource-development;CAPEC-630
Dragonfly;resource-development
resource-development;T1584.004
HEXANE;resource-development
resource-development;T1608.001
Dragonfly;credential-access
credential-access;T1003.003
APT19;persistence
persistence;T1574.002
persistence;CAPEC-641
APT19;privilege-escalation
privilege-escalation;T1574.002
privilege-escalation;CAPEC-641
APT19;defense-evasion
defense-evasion;T1574.002
defense-evasion;CAPEC-641
Dragonfly;execution
execution;T1059.003
APT29;credential-access
credential-access;T1558.003
credential-access;CAPEC-509
APT28;command-and-control
command-and-control;T1071.003
