threat-crank.py 0.2.1
I: searching for industries that match .* water.*|.* gas.*|.* electric.*|.* utilit.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v6.1/enterprise-attack/enterprise-attack.json
Group5;command-and-control
command-and-control;T1065
Turla;credential-access
credential-access;T1110
credential-access;CAPEC-49
Turla;initial-access
initial-access;T1192
initial-access;CAPEC-163
Group5;defense-evasion
defense-evasion;T1107
Turla;discovery
discovery;T1012
discovery;CAPEC-647
Turla;execution
execution;T1086
Turla;discovery
discovery;T1007
discovery;CAPEC-574
Group5;collection
collection;T1113
collection;CAPEC-648
Turla;discovery
discovery;T1083
Turla;persistence
persistence;T1060
persistence;CAPEC-270
Turla;command-and-control
command-and-control;T1102
Turla;defense-evasion
defense-evasion;T1102
Turla;defense-evasion
defense-evasion;T1055
defense-evasion;CAPEC-640
Turla;privilege-escalation
privilege-escalation;T1055
privilege-escalation;CAPEC-640
Turla;execution
execution;T1204
Turla;command-and-control
command-and-control;T1105
Turla;lateral-movement
lateral-movement;T1105
Group5;defense-evasion
defense-evasion;T1027
defense-evasion;CAPEC-267
Turla;discovery
discovery;T1018
discovery;CAPEC-292
Turla;discovery
discovery;T1016
discovery;CAPEC-309
Turla;discovery
discovery;T1082
discovery;CAPEC-312
Turla;persistence
persistence;T1004
persistence;CAPEC-579
Group5;collection
collection;T1056
collection;CAPEC-568
Group5;credential-access
credential-access;T1056
credential-access;CAPEC-568
Turla;command-and-control
command-and-control;T1071
Turla;defense-evasion
defense-evasion;T1066
Turla;discovery
discovery;T1057
discovery;CAPEC-573
Turla;discovery
discovery;T1049
Turla;initial-access
initial-access;T1193
initial-access;CAPEC-163
Turla;lateral-movement
lateral-movement;T1077
lateral-movement;CAPEC-561
Group5;defense-evasion
defense-evasion;T1045
defense-evasion;CAPEC-570
Turla;discovery
discovery;T1124
discovery;CAPEC-295
Turla;persistence
persistence;T1504
Turla;privilege-escalation
privilege-escalation;T1504
Turla;defense-evasion
defense-evasion;T1112
defense-evasion;CAPEC-203
Turla;defense-evasion
defense-evasion;T1027
defense-evasion;CAPEC-267
Turla;persistence
persistence;T1084
Turla;execution
execution;T1106
Turla;defense-evasion
defense-evasion;T1089
defense-evasion;CAPEC-578
Turla;defense-evasion
defense-evasion;T1140
Turla;command-and-control
command-and-control;T1090
Turla;defense-evasion
defense-evasion;T1090
Turla;collection
collection;T1025
Turla;defense-evasion
defense-evasion;T1134
defense-evasion;CAPEC-633
Turla;privilege-escalation
privilege-escalation;T1134
privilege-escalation;CAPEC-633
Turla;collection
collection;T1005
Turla;execution
execution;T1059
Turla;credential-access
credential-access;T1081
credential-access;CAPEC-639
Turla;defense-evasion
defense-evasion;T1064
Turla;execution
execution;T1064
Turla;exfiltration
exfiltration;T1048
Turla;exfiltration
exfiltration;T1022
