threat-crank.py 0.2.1
I: searching for regions that match .* afric.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v16.1/enterprise-attack/enterprise-attack.json
Fox Kitten;command-and-control
command-and-control;T1105
Fox Kitten;execution
execution;T1059
Daggerfly;credential-access
credential-access;T1003.002
Inception;defense-evasion
defense-evasion;T1027.013
HEXANE;discovery
discovery;T1016
APT39;discovery
discovery;T1046
MuddyWater;initial-access
initial-access;T1566.002
BackdoorDiplomacy;defense-evasion
defense-evasion;T1027
HEXANE;credential-access
credential-access;T1555
APT39;persistence
persistence;T1547.001
APT39;privilege-escalation
privilege-escalation;T1547.001
HEXANE;defense-evasion
defense-evasion;T1027.010
APT39;command-and-control
command-and-control;T1090.002
MuddyWater;persistence
persistence;T1137.001
MuddyWater;persistence
persistence;T1574.002
MuddyWater;privilege-escalation
privilege-escalation;T1574.002
MuddyWater;defense-evasion
defense-evasion;T1574.002
APT39;defense-evasion
defense-evasion;T1140
Metador;command-and-control
command-and-control;T1071.001
APT39;collection
collection;T1056.001
APT39;credential-access
credential-access;T1056.001
APT39;collection
collection;T1005
APT39;execution
execution;T1059.001
APT39;collection
collection;T1115
APT39;credential-access
credential-access;T1003
Inception;resource-development
resource-development;T1588.002
Fox Kitten;collection
collection;T1530
Inception;persistence
persistence;T1547.001
Inception;privilege-escalation
privilege-escalation;T1547.001
Fox Kitten;discovery
discovery;T1018
HEXANE;reconnaissance
reconnaissance;T1589
Inception;command-and-control
command-and-control;T1102
APT39;defense-evasion
defense-evasion;T1553.006
MuddyWater;resource-development
resource-development;T1588.002
MuddyWater;defense-evasion
defense-evasion;T1218.005
APT39;privilege-escalation
privilege-escalation;T1546.010
APT39;persistence
persistence;T1546.010
Fox Kitten;credential-access
credential-access;T1110
MuddyWater;execution
execution;T1047
Fox Kitten;lateral-movement
lateral-movement;T1210
Daggerfly;resource-development
resource-development;T1587.002
Daggerfly;execution
execution;T1053.005
Daggerfly;persistence
persistence;T1053.005
Daggerfly;privilege-escalation
privilege-escalation;T1053.005
MuddyWater;credential-access
credential-access;T1003.004
HEXANE;discovery
discovery;T1082
MuddyWater;initial-access
initial-access;T1566.001
APT39;persistence
persistence;T1547.009
APT39;privilege-escalation
privilege-escalation;T1547.009
HEXANE;resource-development
resource-development;T1583.001
Fox Kitten;persistence
persistence;T1136.001
Daggerfly;command-and-control
command-and-control;T1071.001
Fox Kitten;collection
collection;T1560.001
Fox Kitten;defense-evasion
defense-evasion;T1027.010
HEXANE;credential-access
credential-access;T1110
HEXANE;execution
execution;T1053.005
HEXANE;persistence
persistence;T1053.005
HEXANE;privilege-escalation
privilege-escalation;T1053.005
APT39;discovery
discovery;T1135
MuddyWater;execution
execution;T1559.001
Fox Kitten;collection
collection;T1005
Fox Kitten;resource-development
resource-development;T1585
APT39;execution
execution;T1569.002
HEXANE;execution
execution;T1204.002
BackdoorDiplomacy;persistence
persistence;T1505.003
APT39;defense-evasion
defense-evasion;T1027.013
MuddyWater;execution
execution;T1059.003
HEXANE;exfiltration
exfiltration;T1567.002
Inception;command-and-control
command-and-control;T1090.003
Inception;discovery
discovery;T1518
Fox Kitten;lateral-movement
lateral-movement;T1021.005
MuddyWater;defense-evasion
defense-evasion;T1218.003
MuddyWater;defense-evasion
defense-evasion;T1036.005
APT39;resource-development
resource-development;T1588.002
MuddyWater;defense-evasion
defense-evasion;T1562.001
BackdoorDiplomacy;initial-access
initial-access;T1190
MuddyWater;discovery
discovery;T1087.002
Inception;discovery
discovery;T1083
BackdoorDiplomacy;resource-development
resource-development;T1588.002
Inception;initial-access
initial-access;T1566.001
HEXANE;resource-development
resource-development;T1585.001
APT39;lateral-movement
lateral-movement;T1021.001
MuddyWater;execution
execution;T1059.007
APT39;discovery
discovery;T1033
MuddyWater;resource-development
resource-development;T1583.006
HEXANE;discovery
discovery;T1016.001
MuddyWater;execution
execution;T1059.005
MuddyWater;discovery
discovery;T1016
Inception;discovery
discovery;T1082
APT39;defense-evasion
defense-evasion;T1027.002
APT39;exfiltration
exfiltration;T1041
Fox Kitten;credential-access
credential-access;T1552.001
APT39;execution
execution;T1204.002
HEXANE;privilege-escalation
privilege-escalation;T1546.003
HEXANE;persistence
persistence;T1546.003
BackdoorDiplomacy;defense-evasion
defense-evasion;T1036.005
Fox Kitten;discovery
discovery;T1217
Fox Kitten;execution
execution;T1059.003
APT39;execution
execution;T1053.005
APT39;persistence
persistence;T1053.005
APT39;privilege-escalation
privilege-escalation;T1053.005
MuddyWater;persistence
persistence;T1547.001
MuddyWater;privilege-escalation
privilege-escalation;T1547.001
MuddyWater;defense-evasion
defense-evasion;T1140
BackdoorDiplomacy;defense-evasion
defense-evasion;T1055.001
BackdoorDiplomacy;privilege-escalation
privilege-escalation;T1055.001
APT39;defense-evasion
defense-evasion;T1070.004
MuddyWater;execution
execution;T1559.002
Inception;execution
execution;T1059.001
APT39;command-and-control
command-and-control;T1102.002
MuddyWater;defense-evasion
defense-evasion;T1027.010
HEXANE;discovery
discovery;T1069.001
APT39;collection
collection;T1560.001
Fox Kitten;defense-evasion
defense-evasion;T1027.013
APT39;persistence
persistence;T1505.003
Metador;execution
execution;T1059.003
APT39;command-and-control
command-and-control;T1105
Fox Kitten;collection
collection;T1213.005
Fox Kitten;lateral-movement
lateral-movement;T1021.002
MuddyWater;defense-evasion
defense-evasion;T1027.004
HEXANE;discovery
discovery;T1018
HEXANE;lateral-movement
lateral-movement;T1021.001
Metador;resource-development
resource-development;T1588.001
APT39;execution
execution;T1059.010
MuddyWater;discovery
discovery;T1518.001
Fox Kitten;initial-access
initial-access;T1190
HEXANE;resource-development
resource-development;T1586.002
MuddyWater;collection
collection;T1074.001
Inception;execution
execution;T1204.002
MuddyWater;collection
collection;T1113
Fox Kitten;credential-access
credential-access;T1555.005
Fox Kitten;credential-access
credential-access;T1003.003
HEXANE;credential-access
credential-access;T1110.003
MuddyWater;command-and-control
command-and-control;T1071.001
MuddyWater;discovery
discovery;T1518
APT39;execution
execution;T1204.001
MuddyWater;discovery
discovery;T1083
Inception;command-and-control
command-and-control;T1071.001
MuddyWater;privilege-escalation
privilege-escalation;T1548.002
MuddyWater;defense-evasion
defense-evasion;T1548.002
HEXANE;command-and-control
command-and-control;T1102.002
MuddyWater;command-and-control
command-and-control;T1105
MuddyWater;command-and-control
command-and-control;T1573.001
Inception;collection
collection;T1005
Inception;defense-evasion
defense-evasion;T1218.005
HEXANE;resource-development
resource-development;T1588.002
MuddyWater;credential-access
credential-access;T1555.003
Fox Kitten;discovery
discovery;T1087.001
APT39;credential-access
credential-access;T1555
Fox Kitten;discovery
discovery;T1087.002
MuddyWater;collection
collection;T1560.001
Daggerfly;execution
execution;T1059.001
Daggerfly;defense-evasion
defense-evasion;T1036.003
Daggerfly;execution
execution;T1204.001
Daggerfly;command-and-control
command-and-control;T1105
Fox Kitten;lateral-movement
lateral-movement;T1021.004
APT39;collection
collection;T1113
Metador;privilege-escalation
privilege-escalation;T1546.003
Metador;persistence
persistence;T1546.003
APT39;credential-access
credential-access;T1003.001
MuddyWater;execution
execution;T1059.006
APT39;discovery
discovery;T1018
Fox Kitten;persistence
persistence;T1505.003
Fox Kitten;execution
execution;T1053.005
Fox Kitten;persistence
persistence;T1053.005
Fox Kitten;privilege-escalation
privilege-escalation;T1053.005
MuddyWater;discovery
discovery;T1049
APT39;command-and-control
command-and-control;T1071.004
MuddyWater;discovery
discovery;T1082
HEXANE;credential-access
credential-access;T1555.003
MuddyWater;credential-access
credential-access;T1555
HEXANE;execution
execution;T1059.001
MuddyWater;discovery
discovery;T1057
APT39;execution
execution;T1059
MuddyWater;command-and-control
command-and-control;T1132.001
Fox Kitten;defense-evasion
defense-evasion;T1036.004
MuddyWater;command-and-control
command-and-control;T1104
Fox Kitten;credential-access
credential-access;T1003.001
HEXANE;resource-development
resource-development;T1608.001
APT39;collection
collection;T1074.001
HEXANE;reconnaissance
reconnaissance;T1589.002
Fox Kitten;command-and-control
command-and-control;T1090
Inception;credential-access
credential-access;T1555.003
HEXANE;resource-development
resource-development;T1585.002
Inception;execution
execution;T1203
Daggerfly;discovery
discovery;T1082
BackdoorDiplomacy;command-and-control
command-and-control;T1105
Metador;defense-evasion
defense-evasion;T1027.013
MuddyWater;execution
execution;T1204.001
Fox Kitten;discovery
discovery;T1012
MuddyWater;defense-evasion
defense-evasion;T1027.003
HEXANE;discovery
discovery;T1033
APT39;discovery
discovery;T1083
Metador;defense-evasion
defense-evasion;T1070.004
HEXANE;command-and-control
command-and-control;T1105
Inception;discovery
discovery;T1069.002
Fox Kitten;command-and-control
command-and-control;T1572
MuddyWater;credential-access
credential-access;T1003.001
Daggerfly;initial-access
initial-access;T1195.002
Daggerfly;persistence
persistence;T1574.002
Daggerfly;privilege-escalation
privilege-escalation;T1574.002
Daggerfly;defense-evasion
defense-evasion;T1574.002
Daggerfly;defense-evasion
defense-evasion;T1218.011
BackdoorDiplomacy;collection
collection;T1074.001
APT39;discovery
discovery;T1012
APT39;credential-access
credential-access;T1110
Inception;execution
execution;T1059.005
Inception;defense-evasion
defense-evasion;T1221
Metador;command-and-control
command-and-control;T1095
APT39;defense-evasion
defense-evasion;T1197
APT39;persistence
persistence;T1197
APT39;persistence
persistence;T1136.001
Daggerfly;resource-development
resource-development;T1584.004
HEXANE;discovery
discovery;T1049
MuddyWater;execution
execution;T1053.005
MuddyWater;persistence
persistence;T1053.005
MuddyWater;privilege-escalation
privilege-escalation;T1053.005
APT39;execution
execution;T1059.006
BackdoorDiplomacy;discovery
discovery;T1046
Inception;defense-evasion
defense-evasion;T1218.010
MuddyWater;command-and-control
command-and-control;T1090.002
Daggerfly;persistence
persistence;T1136.001
HEXANE;discovery
discovery;T1057
Inception;command-and-control
command-and-control;T1573.001
