threat-crank.py 0.2.1
I: searching for regions that match .* britain.*|.* united kingdom.*|.* england.*|.* scotland.*|.* ireland.*|.* wales.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v13.0/enterprise-attack/enterprise-attack.json
Gorgon Group;defense-evasion
defense-evasion;T1055.002
Gorgon Group;privilege-escalation
privilege-escalation;T1055.002
Gorgon Group;defense-evasion
defense-evasion;T1140
Gorgon Group;command-and-control
command-and-control;T1105
Gorgon Group;defense-evasion
defense-evasion;T1564.003
Gorgon Group;defense-evasion
defense-evasion;T1055.012
Gorgon Group;privilege-escalation
privilege-escalation;T1055.012
Gorgon Group;execution
execution;T1059.001
Gorgon Group;defense-evasion
defense-evasion;T1562.001
Gorgon Group;execution
execution;T1059.003
Gorgon Group;initial-access
initial-access;T1566.001
Gorgon Group;execution
execution;T1059.005
Gorgon Group;execution
execution;T1106
Gorgon Group;execution
execution;T1204.002
Gorgon Group;persistence
persistence;T1547.009
Gorgon Group;privilege-escalation
privilege-escalation;T1547.009
Gorgon Group;defense-evasion
defense-evasion;T1112
Gorgon Group;persistence
persistence;T1547.001
Gorgon Group;privilege-escalation
privilege-escalation;T1547.001
Gorgon Group;resource-development
resource-development;T1588.002
