threat-crank.py 0.2.1
I: searching for regions that match .* canada.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v11.1/enterprise-attack/enterprise-attack.json
Honeybee;persistence
persistence;T1543.003
persistence;CAPEC-478
persistence;CAPEC-550
persistence;CAPEC-551
Honeybee;privilege-escalation
privilege-escalation;T1543.003
privilege-escalation;CAPEC-478
privilege-escalation;CAPEC-550
privilege-escalation;CAPEC-551
Leviathan;defense-evasion
defense-evasion;T1078
defense-evasion;CAPEC-560
Leviathan;persistence
persistence;T1078
persistence;CAPEC-560
Leviathan;privilege-escalation
privilege-escalation;T1078
privilege-escalation;CAPEC-560
Leviathan;initial-access
initial-access;T1078
initial-access;CAPEC-560
Honeybee;defense-evasion
defense-evasion;T1140
Leviathan;execution
execution;T1204.002
Leviathan;defense-evasion
defense-evasion;T1140
Leviathan;execution
execution;T1059.005
Leviathan;execution
execution;T1047
Leviathan;command-and-control
command-and-control;T1090.003
Leviathan;defense-evasion
defense-evasion;T1027.003
defense-evasion;CAPEC-636
Honeybee;discovery
discovery;T1057
discovery;CAPEC-573
Leviathan;defense-evasion
defense-evasion;T1055.001
Leviathan;privilege-escalation
privilege-escalation;T1055.001
Leviathan;command-and-control
command-and-control;T1572
Leviathan;resource-development
resource-development;T1585.002
Honeybee;collection
collection;T1074.001
Leviathan;collection
collection;T1074.001
Leviathan;credential-access
credential-access;T1003.001
Leviathan;lateral-movement
lateral-movement;T1021.001
lateral-movement;CAPEC-555
Leviathan;defense-evasion
defense-evasion;T1027
defense-evasion;CAPEC-267
Leviathan;initial-access
initial-access;T1566.002
initial-access;CAPEC-163
Leviathan;lateral-movement
lateral-movement;T1534
Honeybee;persistence
persistence;T1547.001
persistence;CAPEC-270
Honeybee;privilege-escalation
privilege-escalation;T1547.001
privilege-escalation;CAPEC-270
Honeybee;defense-evasion
defense-evasion;T1112
defense-evasion;CAPEC-203
Honeybee;command-and-control
command-and-control;T1071.002
Leviathan;defense-evasion
defense-evasion;T1553.002
Leviathan;exfiltration
exfiltration;T1041
Leviathan;exfiltration
exfiltration;T1567.002
Leviathan;credential-access
credential-access;T1003
Leviathan;execution
execution;T1204.001
Honeybee;collection
collection;T1560
Leviathan;persistence
persistence;T1547.001
persistence;CAPEC-270
Leviathan;privilege-escalation
privilege-escalation;T1547.001
privilege-escalation;CAPEC-270
Leviathan;persistence
persistence;T1547.009
persistence;CAPEC-132
Leviathan;privilege-escalation
privilege-escalation;T1547.009
privilege-escalation;CAPEC-132
Leviathan;lateral-movement
lateral-movement;T1021.004
lateral-movement;CAPEC-555
Leviathan;resource-development
resource-development;T1583.001
resource-development;CAPEC-630
Leviathan;defense-evasion
defense-evasion;T1027.001
defense-evasion;CAPEC-572
defense-evasion;CAPEC-655
Leviathan;collection
collection;T1074.002
Honeybee;defense-evasion
defense-evasion;T1553.002
Leviathan;resource-development
resource-development;T1586.002
Leviathan;defense-evasion
defense-evasion;T1218.010
Leviathan;privilege-escalation
privilege-escalation;T1546.003
Leviathan;persistence
persistence;T1546.003
Honeybee;defense-evasion
defense-evasion;T1055
defense-evasion;CAPEC-640
Honeybee;privilege-escalation
privilege-escalation;T1055
privilege-escalation;CAPEC-640
Honeybee;privilege-escalation
privilege-escalation;T1548.002
Honeybee;defense-evasion
defense-evasion;T1548.002
Leviathan;defense-evasion
defense-evasion;T1197
Leviathan;persistence
persistence;T1197
Leviathan;command-and-control
command-and-control;T1105
Honeybee;privilege-escalation
privilege-escalation;T1546.009
Honeybee;persistence
persistence;T1546.009
Honeybee;defense-evasion
defense-evasion;T1070.004
Leviathan;persistence
persistence;T1505.003
persistence;CAPEC-650
Honeybee;collection
collection;T1005
Leviathan;initial-access
initial-access;T1189
Leviathan;collection
collection;T1560
Leviathan;reconnaissance
reconnaissance;T1589.001
Leviathan;execution
execution;T1559.002
Honeybee;discovery
discovery;T1082
discovery;CAPEC-312
Honeybee;exfiltration
exfiltration;T1020
Leviathan;persistence
persistence;T1133
persistence;CAPEC-555
Leviathan;initial-access
initial-access;T1133
initial-access;CAPEC-555
Leviathan;command-and-control
command-and-control;T1102.003
Honeybee;execution
execution;T1059.005
Leviathan;execution
execution;T1203
Honeybee;discovery
discovery;T1083
discovery;CAPEC-127
discovery;CAPEC-497
Leviathan;resource-development
resource-development;T1585.001
Leviathan;resource-development
resource-development;T1586.001
Honeybee;execution
execution;T1569.002
Honeybee;execution
execution;T1059.003
Leviathan;execution
execution;T1059.001
Leviathan;initial-access
initial-access;T1566.001
initial-access;CAPEC-163
Honeybee;defense-evasion
defense-evasion;T1027
defense-evasion;CAPEC-267
