threat-crank.py 0.2.1
I: searching for regions that match .* europe.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v13.1/enterprise-attack/enterprise-attack.json
Kimsuky;credential-access
credential-access;T1552.001
Leviathan;defense-evasion
defense-evasion;T1218.010
Molerats;credential-access
credential-access;T1555.003
Tonto Team;execution
execution;T1059.006
APT39;defense-evasion
defense-evasion;T1027
Magic Hound;resource-development
resource-development;T1585.002
Ke3chang;initial-access
initial-access;T1190
Magic Hound;discovery
discovery;T1482
Fox Kitten;collection
collection;T1039
Fox Kitten;resource-development
resource-development;T1585.001
Mustang Panda;command-and-control
command-and-control;T1219
Magic Hound;discovery
discovery;T1018
DarkVishnya;persistence
persistence;T1543.003
DarkVishnya;privilege-escalation
privilege-escalation;T1543.003
Inception;discovery
discovery;T1069.002
APT29;resource-development
resource-development;T1586.002
BackdoorDiplomacy;defense-evasion
defense-evasion;T1055.001
BackdoorDiplomacy;privilege-escalation
privilege-escalation;T1055.001
Cobalt Group;defense-evasion
defense-evasion;T1218.008
Leviathan;lateral-movement
lateral-movement;T1021.004
Cobalt Group;lateral-movement
lateral-movement;T1021.001
Leviathan;defense-evasion
defense-evasion;T1197
Leviathan;persistence
persistence;T1197
MuddyWater;persistence
persistence;T1137.001
Fox Kitten;discovery
discovery;T1012
Orangeworm;lateral-movement
lateral-movement;T1021.002
MuddyWater;discovery
discovery;T1087.002
Ke3chang;discovery
discovery;T1069.002
Ember Bear;defense-evasion
defense-evasion;T1218.002
Kimsuky;execution
execution;T1059.003
Kimsuky;lateral-movement
lateral-movement;T1534
MuddyWater;collection
collection;T1560.001
Mustang Panda;discovery
discovery;T1016
Fox Kitten;discovery
discovery;T1217
APT39;defense-evasion
defense-evasion;T1197
APT39;persistence
persistence;T1197
Magic Hound;exfiltration
exfiltration;T1567
Magic Hound;defense-evasion
defense-evasion;T1027
MuddyWater;execution
execution;T1059.001
Molerats;execution
execution;T1059.001
Kimsuky;command-and-control
command-and-control;T1102.002
Kimsuky;defense-evasion
defense-evasion;T1564.003
Mustang Panda;command-and-control
command-and-control;T1102
Leviathan;resource-development
resource-development;T1585.001
APT39;defense-evasion
defense-evasion;T1070.004
Tonto Team;collection
collection;T1056.001
Tonto Team;credential-access
credential-access;T1056.001
Kimsuky;command-and-control
command-and-control;T1105
Magic Hound;reconnaissance
reconnaissance;T1598.003
Cobalt Group;command-and-control
command-and-control;T1105
Mustang Panda;collection
collection;T1074.001
APT39;credential-access
credential-access;T1110
Magic Hound;persistence
persistence;T1098
Kimsuky;resource-development
resource-development;T1588.002
DarkVishnya;command-and-control
command-and-control;T1571
Kimsuky;command-and-control
command-and-control;T1071.001
MuddyWater;execution
execution;T1047
Leviathan;execution
execution;T1204.002
APT39;defense-evasion
defense-evasion;T1140
Mustang Panda;persistence
persistence;T1547.001
Mustang Panda;privilege-escalation
privilege-escalation;T1547.001
Kimsuky;resource-development
resource-development;T1584.001
APT39;credential-access
credential-access;T1555
Cobalt Group;execution
execution;T1053.005
Cobalt Group;persistence
persistence;T1053.005
Cobalt Group;privilege-escalation
privilege-escalation;T1053.005
WIRTE;command-and-control
command-and-control;T1071.001
MuddyWater;execution
execution;T1204.001
Cobalt Group;resource-development
resource-development;T1588.002
Mustang Panda;defense-evasion
defense-evasion;T1036.007
Ke3chang;credential-access
credential-access;T1003.004
Kimsuky;defense-evasion
defense-evasion;T1562.004
APT39;collection
collection;T1056
APT39;credential-access
credential-access;T1056
Machete;execution
execution;T1059.003
Machete;execution
execution;T1204.001
APT39;execution
execution;T1059
Magic Hound;lateral-movement
lateral-movement;T1570
Tonto Team;persistence
persistence;T1574.001
Tonto Team;privilege-escalation
privilege-escalation;T1574.001
Tonto Team;defense-evasion
defense-evasion;T1574.001
Magic Hound;discovery
discovery;T1083
Fox Kitten;defense-evasion
defense-evasion;T1036.004
WIRTE;defense-evasion
defense-evasion;T1140
Kimsuky;discovery
discovery;T1016
BackdoorDiplomacy;discovery
discovery;T1120
Kimsuky;lateral-movement
lateral-movement;T1021.001
Magic Hound;initial-access
initial-access;T1190
Mustang Panda;defense-evasion
defense-evasion;T1027
Magic Hound;resource-development
resource-development;T1585.001
Kimsuky;discovery
discovery;T1012
MuddyWater;credential-access
credential-access;T1555
Mustang Panda;initial-access
initial-access;T1566.002
APT39;persistence
persistence;T1547.001
APT39;privilege-escalation
privilege-escalation;T1547.001
Tonto Team;command-and-control
command-and-control;T1105
Kimsuky;defense-evasion
defense-evasion;T1564.002
APT39;command-and-control
command-and-control;T1102.002
Kimsuky;initial-access
initial-access;T1566.001
Magic Hound;defense-evasion
defense-evasion;T1218.011
APT29;privilege-escalation
privilege-escalation;T1548.002
APT29;defense-evasion
defense-evasion;T1548.002
BackdoorDiplomacy;discovery
discovery;T1046
APT29;persistence
persistence;T1098.005
Kimsuky;defense-evasion
defense-evasion;T1036.005
WIRTE;initial-access
initial-access;T1566.001
Ember Bear;defense-evasion
defense-evasion;T1027.002
DarkVishnya;initial-access
initial-access;T1200
MuddyWater;discovery
discovery;T1049
Fox Kitten;execution
execution;T1059.001
Magic Hound;execution
execution;T1059.001
Kimsuky;defense-evasion
defense-evasion;T1078.003
Kimsuky;persistence
