threat-crank.py 0.2.1
I: searching for regions that match .* india.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v1.0/enterprise-attack/enterprise-attack.json
Patchwork;defense-evasion
defense-evasion;T1088
Patchwork;privilege-escalation
privilege-escalation;T1088
Patchwork;execution
execution;T1059
Patchwork;collection
collection;T1005
Patchwork;execution
execution;T1086
Patchwork;persistence
persistence;T1060
Patchwork;lateral-movement
lateral-movement;T1076
Patchwork;command-and-control
command-and-control;T1132
Patchwork;discovery
discovery;T1082
Patchwork;discovery
discovery;T1033
Patchwork;credential-access
credential-access;T1003
Patchwork;discovery
discovery;T1063
Patchwork;defense-evasion
defense-evasion;T1036
Patchwork;discovery
discovery;T1083
Patchwork;defense-evasion
defense-evasion;T1093
Patchwork;defense-evasion
defense-evasion;T1045
Patchwork;command-and-control
command-and-control;T1105
Patchwork;lateral-movement
lateral-movement;T1105
Patchwork;command-and-control
command-and-control;T1102
