threat-crank.py 0.2.1
I: searching for regions that match .* iran.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v12.1/enterprise-attack/enterprise-attack.json
MuddyWater;execution
execution;T1059.007
MuddyWater;discovery
discovery;T1057
discovery;CAPEC-573
APT39;defense-evasion
defense-evasion;T1027
defense-evasion;CAPEC-267
Silent Librarian;resource-development
resource-development;T1588.004
APT33;credential-access
credential-access;T1555.003
MuddyWater;discovery
discovery;T1087.002
discovery;CAPEC-575
MuddyWater;credential-access
credential-access;T1555
APT39;command-and-control
command-and-control;T1071.001
Magic Hound;command-and-control
command-and-control;T1105
Group5;collection
collection;T1113
collection;CAPEC-648
APT33;privilege-escalation
privilege-escalation;T1068
Leafminer;credential-access
credential-access;T1110.003
credential-access;CAPEC-565
Fox Kitten;discovery
discovery;T1012
discovery;CAPEC-647
CopyKittens;defense-evasion
defense-evasion;T1553.002
OilRig;exfiltration
exfiltration;T1048.003
APT39;collection
collection;T1560.001
APT33;execution
execution;T1059.005
APT39;credential-access
credential-access;T1003.001
Fox Kitten;discovery
discovery;T1083
discovery;CAPEC-127
discovery;CAPEC-497
Leafminer;defense-evasion
defense-evasion;T1055.013
Leafminer;privilege-escalation
privilege-escalation;T1055.013
Fox Kitten;persistence
persistence;T1505.003
persistence;CAPEC-650
MuddyWater;command-and-control
command-and-control;T1105
MuddyWater;discovery
discovery;T1083
discovery;CAPEC-127
discovery;CAPEC-497
OilRig;execution
execution;T1059.001
Cleaver;resource-development
resource-development;T1585.001
POLONIUM;command-and-control
command-and-control;T1102.002
APT39;discovery
discovery;T1083
discovery;CAPEC-127
discovery;CAPEC-497
APT33;command-and-control
command-and-control;T1573.001
APT39;initial-access
initial-access;T1566.001
initial-access;CAPEC-163
Moses Staff;command-and-control
command-and-control;T1105
OilRig;discovery
discovery;T1033
discovery;CAPEC-577
Fox Kitten;discovery
discovery;T1046
discovery;CAPEC-300
Fox Kitten;initial-access
initial-access;T1190
Magic Hound;execution
execution;T1053.005
Magic Hound;persistence
persistence;T1053.005
Magic Hound;privilege-escalation
privilege-escalation;T1053.005
MuddyWater;credential-access
credential-access;T1003.004
Fox Kitten;defense-evasion
defense-evasion;T1036.005
defense-evasion;CAPEC-177
Strider;command-and-control
command-and-control;T1090.001
Moses Staff;resource-development
resource-development;T1587.001
Moses Staff;discovery
discovery;T1087.001
Fox Kitten;lateral-movement
lateral-movement;T1021.004
lateral-movement;CAPEC-555
MuddyWater;discovery
discovery;T1082
discovery;CAPEC-312
MuddyWater;execution
execution;T1047
OilRig;credential-access
credential-access;T1003.004
MuddyWater;defense-evasion
defense-evasion;T1218.005
Leafminer;credential-access
credential-access;T1003.005
OilRig;discovery
discovery;T1082
discovery;CAPEC-312
OilRig;discovery
discovery;T1046
discovery;CAPEC-300
APT39;collection
collection;T1115
collection;CAPEC-637
Magic Hound;execution
execution;T1059.001
Magic Hound;resource-development
resource-development;T1586.002
Magic Hound;defense-evasion
defense-evasion;T1564.003
Magic Hound;persistence
persistence;T1547.001
persistence;CAPEC-270
Magic Hound;privilege-escalation
privilege-escalation;T1547.001
privilege-escalation;CAPEC-270
Ajax Security Team;credential-access
credential-access;T1555.003
Fox Kitten;execution
execution;T1053.005
Fox Kitten;persistence
persistence;T1053.005
Fox Kitten;privilege-escalation
privilege-escalation;T1053.005
Leafminer;discovery
discovery;T1018
discovery;CAPEC-292
MuddyWater;collection
collection;T1560.001
APT39;collection
collection;T1074.001
OilRig;defense-evasion
defense-evasion;T1497.001
OilRig;discovery
discovery;T1497.001
MuddyWater;execution
execution;T1204.002
Fox Kitten;resource-development
resource-development;T1585
APT39;collection
collection;T1113
collection;CAPEC-648
Silent Librarian;reconnaissance
reconnaissance;T1589.002
APT39;exfiltration
exfiltration;T1041
OilRig;initial-access
initial-access;T1566.003
initial-access;CAPEC-163
MuddyWater;exfiltration
exfiltration;T1041
MuddyWater;privilege-escalation
privilege-escalation;T1548.002
MuddyWater;defense-evasion
defense-evasion;T1548.002
Silent Librarian;reconnaissance
reconnaissance;T1598.003
MuddyWater;discovery
discovery;T1518.001
discovery;CAPEC-581
OilRig;defense-evasion
defense-evasion;T1027
defense-evasion;CAPEC-267
Magic Hound;resource-development
resource-development;T1585.002
APT39;defense-evasion
defense-evasion;T1027.002
defense-evasion;CAPEC-570
OilRig;persistence
persistence;T1137.004
Leafminer;credential-access
credential-access;T1555
Fox Kitten;command-and-control
command-and-control;T1090
MuddyWater;command-and-control
command-and-control;T1219
Ajax Security Team;initial-access
initial-access;T1566.001
initial-access;CAPEC-163
OilRig;discovery
discovery;T1069.001
MuddyWater;execution
execution;T1559.001
OilRig;discovery
discovery;T1201
OilRig;execution
execution;T1059.005
APT39;defense-evasion
defense-evasion;T1140
APT39;command-and-control
command-and-control;T1071.004
MuddyWater;defense-evasion
defense-evasion;T1218.003
Fox Kitten;execution
execution;T1059
POLONIUM;exfiltration
exfiltration;T1567.002
APT39;discovery
discovery;T1135
discovery;CAPEC-643
Magic Hound;collection
collection;T1114
OilRig;command-and-control
command-and-control;T1071.004
CopyKittens;execution
execution;T1059.001
Magic Hound;persistence
persistence;T1136.001
Moses Staff;persistence
persistence;T1505.003
persistence;CAPEC-650
OilRig;execution
execution;T1204.001
Fox Kitten;discovery
discovery;T1087.001
MuddyWater;command-and-control
command-and-control;T1132.001
Fox Kitten;privilege-escalation
privilege-escalation;T1546.008
privilege-escalation;CAPEC-558
Fox Kitten;persistence
persistence;T1546.008
persistence;CAPEC-558
Magic Hound;lateral-movement
lateral-movement;T1021.001
lateral-movement;CAPEC-555
MuddyWater;collection
collection;T1113
collection;CAPEC-648
APT39;execution
execution;T1059.001
Magic Hound;defense-evasion
defense-evasion;T1562.001
defense-evasion;CAPEC-578
APT39;execution
execution;T1059.005
Leafminer;discovery
discovery;T1046
discovery;CAPEC-300
APT39;persistence
persistence;T1136.001
OilRig;discovery
discovery;T1087.002
