threat-crank.py 0.2.1
I: searching for regions that match .* israel.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v16.1/enterprise-attack/enterprise-attack.json
HEXANE;discovery
discovery;T1016
Moses Staff;lateral-movement
lateral-movement;T1021.002
HEXANE;credential-access
credential-access;T1555
HEXANE;defense-evasion
defense-evasion;T1027.010
HEXANE;reconnaissance
reconnaissance;T1589
HEXANE;discovery
discovery;T1082
Moses Staff;discovery
discovery;T1016
Agrius;discovery
discovery;T1018
Moses Staff;discovery
discovery;T1087.001
HEXANE;resource-development
resource-development;T1583.001
CopyKittens;collection
collection;T1560.003
Agrius;discovery
discovery;T1046
Agrius;defense-evasion
defense-evasion;T1078.002
Agrius;persistence
persistence;T1078.002
Agrius;privilege-escalation
privilege-escalation;T1078.002
Agrius;initial-access
initial-access;T1078.002
HEXANE;credential-access
credential-access;T1110
CopyKittens;collection
collection;T1560.001
HEXANE;execution
execution;T1053.005
HEXANE;persistence
persistence;T1053.005
HEXANE;privilege-escalation
privilege-escalation;T1053.005
CopyKittens;execution
execution;T1059.001
POLONIUM;exfiltration
exfiltration;T1567.002
POLONIUM;command-and-control
command-and-control;T1102.002
Agrius;defense-evasion
defense-evasion;T1562.001
CopyKittens;command-and-control
command-and-control;T1090
Agrius;defense-evasion
defense-evasion;T1140
HEXANE;execution
execution;T1204.002
HEXANE;exfiltration
exfiltration;T1567.002
Agrius;persistence
persistence;T1505.003
HEXANE;resource-development
resource-development;T1585.001
Agrius;collection
collection;T1005
HEXANE;discovery
discovery;T1016.001
Agrius;resource-development
resource-development;T1583
HEXANE;privilege-escalation
privilege-escalation;T1546.003
HEXANE;persistence
persistence;T1546.003
Moses Staff;discovery
discovery;T1082
Agrius;collection
collection;T1074.001
HEXANE;discovery
discovery;T1069.001
Agrius;credential-access
credential-access;T1110.003
HEXANE;discovery
discovery;T1018
HEXANE;lateral-movement
lateral-movement;T1021.001
Agrius;collection
collection;T1119
Agrius;credential-access
credential-access;T1003.002
Moses Staff;defense-evasion
defense-evasion;T1562.004
HEXANE;resource-development
resource-development;T1586.002
Agrius;collection
collection;T1560.001
Agrius;defense-evasion
defense-evasion;T1036
HEXANE;credential-access
credential-access;T1110.003
Agrius;credential-access
credential-access;T1003.001
Moses Staff;resource-development
resource-development;T1588.002
Agrius;lateral-movement
lateral-movement;T1021.001
POLONIUM;command-and-control
command-and-control;T1090
HEXANE;command-and-control
command-and-control;T1102.002
Agrius;initial-access
initial-access;T1190
POLONIUM;resource-development
resource-development;T1588.002
HEXANE;resource-development
resource-development;T1588.002
Moses Staff;persistence
persistence;T1505.003
CopyKittens;defense-evasion
defense-evasion;T1218.011
Moses Staff;resource-development
resource-development;T1587.001
Moses Staff;defense-evasion
defense-evasion;T1553.002
Agrius;credential-access
credential-access;T1110
CopyKittens;defense-evasion
defense-evasion;T1564.003
Agrius;execution
execution;T1059.003
HEXANE;credential-access
credential-access;T1555.003
HEXANE;execution
execution;T1059.001
HEXANE;resource-development
resource-development;T1608.001
Moses Staff;defense-evasion
defense-evasion;T1027.013
HEXANE;reconnaissance
reconnaissance;T1589.002
HEXANE;resource-development
resource-development;T1585.002
POLONIUM;initial-access
initial-access;T1199
HEXANE;discovery
discovery;T1033
POLONIUM;resource-development
resource-development;T1583.006
HEXANE;command-and-control
command-and-control;T1105
Agrius;persistence
persistence;T1543.003
Agrius;privilege-escalation
privilege-escalation;T1543.003
HEXANE;discovery
discovery;T1049
Agrius;exfiltration
exfiltration;T1041
HEXANE;discovery
discovery;T1057
Agrius;lateral-movement
lateral-movement;T1570
Moses Staff;command-and-control
command-and-control;T1105
HEXANE;collection
collection;T1056.001
HEXANE;credential-access
credential-access;T1056.001
Moses Staff;initial-access
initial-access;T1190
CopyKittens;resource-development
resource-development;T1588.002
HEXANE;discovery
discovery;T1518
HEXANE;execution
execution;T1059.005
POLONIUM;defense-evasion
defense-evasion;T1078
POLONIUM;persistence
persistence;T1078
POLONIUM;privilege-escalation
privilege-escalation;T1078
POLONIUM;initial-access
initial-access;T1078
HEXANE;discovery
discovery;T1010
HEXANE;reconnaissance
reconnaissance;T1591.004
HEXANE;resource-development
resource-development;T1583.002
CopyKittens;defense-evasion
defense-evasion;T1553.002
HEXANE;lateral-movement
lateral-movement;T1534
