threat-crank.py 0.2.1
I: searching for regions that match .* pakistan.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v13.0/enterprise-attack/enterprise-attack.json
Transparent Tribe;execution
execution;T1059.005
Transparent Tribe;execution
execution;T1203
Mustang Panda;credential-access
credential-access;T1003.003
Sidewinder;discovery
discovery;T1033
Gorgon Group;defense-evasion
defense-evasion;T1055.002
Gorgon Group;privilege-escalation
privilege-escalation;T1055.002
Gorgon Group;defense-evasion
defense-evasion;T1140
SideCopy;execution
execution;T1059.005
Mustang Panda;discovery
discovery;T1049
Mustang Panda;reconnaissance
reconnaissance;T1598.003
Mustang Panda;privilege-escalation
privilege-escalation;T1546.003
Mustang Panda;persistence
persistence;T1546.003
Sidewinder;command-and-control
command-and-control;T1071.001
Mustang Panda;execution
execution;T1204.002
Mustang Panda;defense-evasion
defense-evasion;T1564.001
SideCopy;command-and-control
command-and-control;T1105
BITTER;defense-evasion
defense-evasion;T1027
BITTER;resource-development
resource-development;T1588.002
Gorgon Group;command-and-control
command-and-control;T1105
The White Company;defense-evasion
defense-evasion;T1070.004
Sidewinder;execution
execution;T1559.002
Mustang Panda;persistence
persistence;T1574.002
Mustang Panda;privilege-escalation
privilege-escalation;T1574.002
Mustang Panda;defense-evasion
defense-evasion;T1574.002
The White Company;defense-evasion
defense-evasion;T1027.002
Transparent Tribe;defense-evasion
defense-evasion;T1027
Sidewinder;reconnaissance
reconnaissance;T1598.003
Mustang Panda;exfiltration
exfiltration;T1052.001
Sidewinder;discovery
discovery;T1057
Mustang Panda;execution
execution;T1204.001
SideCopy;defense-evasion
defense-evasion;T1218.005
Mustang Panda;command-and-control
command-and-control;T1105
Sidewinder;defense-evasion
defense-evasion;T1027.010
Transparent Tribe;defense-evasion
defense-evasion;T1564.001
Sidewinder;execution
execution;T1204.001
Gorgon Group;defense-evasion
defense-evasion;T1564.003
SideCopy;resource-development
resource-development;T1608.001
BITTER;execution
execution;T1053.005
BITTER;persistence
persistence;T1053.005
BITTER;privilege-escalation
privilege-escalation;T1053.005
Mustang Panda;resource-development
resource-development;T1583.001
Sidewinder;exfiltration
exfiltration;T1020
SideCopy;initial-access
initial-access;T1566.001
Mustang Panda;execution
execution;T1053.005
Mustang Panda;persistence
persistence;T1053.005
Mustang Panda;privilege-escalation
privilege-escalation;T1053.005
Mustang Panda;command-and-control
command-and-control;T1071.001
BITTER;execution
execution;T1204.002
Gorgon Group;defense-evasion
defense-evasion;T1055.012
Gorgon Group;privilege-escalation
privilege-escalation;T1055.012
SideCopy;discovery
discovery;T1082
Sidewinder;persistence
persistence;T1547.001
Sidewinder;privilege-escalation
privilege-escalation;T1547.001
BITTER;command-and-control
command-and-control;T1105
Sidewinder;defense-evasion
defense-evasion;T1036.005
Mustang Panda;defense-evasion
defense-evasion;T1218.005
Gorgon Group;execution
execution;T1059.001
The White Company;discovery
discovery;T1124
Mustang Panda;execution
execution;T1203
Transparent Tribe;resource-development
resource-development;T1583.001
SideCopy;discovery
discovery;T1518
Gorgon Group;defense-evasion
defense-evasion;T1562.001
Mustang Panda;execution
execution;T1059.001
BITTER;command-and-control
command-and-control;T1573
Sidewinder;execution
execution;T1059.005
Transparent Tribe;execution
execution;T1204.001
Mustang Panda;defense-evasion
defense-evasion;T1218.004
BITTER;command-and-control
command-and-control;T1568
Mustang Panda;defense-evasion
defense-evasion;T1027
Mustang Panda;command-and-control
command-and-control;T1102
Gorgon Group;execution
execution;T1059.003
SideCopy;defense-evasion
defense-evasion;T1036.005
Mustang Panda;collection
collection;T1560.003
Sidewinder;initial-access
initial-access;T1566.001
Sidewinder;discovery
discovery;T1082
Sidewinder;discovery
discovery;T1083
Mustang Panda;command-and-control
command-and-control;T1219
Gorgon Group;initial-access
initial-access;T1566.001
BITTER;resource-development
resource-development;T1583.001
The White Company;execution
execution;T1203
Sidewinder;persistence
persistence;T1574.002
Sidewinder;privilege-escalation
privilege-escalation;T1574.002
Sidewinder;defense-evasion
defense-evasion;T1574.002
SideCopy;reconnaissance
reconnaissance;T1598.002
Gorgon Group;execution
execution;T1059.005
BITTER;execution
execution;T1203
Mustang Panda;defense-evasion
defense-evasion;T1036.007
Mustang Panda;persistence
persistence;T1547.001
Mustang Panda;privilege-escalation
privilege-escalation;T1547.001
Mustang Panda;collection
collection;T1074.001
Gorgon Group;execution
execution;T1106
Mustang Panda;collection
collection;T1560.001
Gorgon Group;execution
execution;T1204.002
SideCopy;discovery
discovery;T1614
BITTER;execution
execution;T1559.002
Mustang Panda;discovery
discovery;T1016
Mustang Panda;execution
execution;T1059.003
Transparent Tribe;initial-access
initial-access;T1566.002
Mustang Panda;lateral-movement
lateral-movement;T1091
Mustang Panda;initial-access
initial-access;T1091
Sidewinder;collection
collection;T1119
BITTER;resource-development
resource-development;T1608.001
Sidewinder;discovery
discovery;T1518
Sidewinder;execution
execution;T1059.007
Sidewinder;discovery
discovery;T1124
The White Company;initial-access
initial-access;T1566.001
Transparent Tribe;initial-access
initial-access;T1189
Mustang Panda;execution
execution;T1047
Mustang Panda;resource-development
resource-development;T1585.002
Sidewinder;execution
execution;T1204.002
Gorgon Group;persistence
persistence;T1547.009
Gorgon Group;privilege-escalation
privilege-escalation;T1547.009
BITTER;defense-evasion
defense-evasion;T1036.004
Mustang Panda;discovery
discovery;T1083
BITTER;privilege-escalation
privilege-escalation;T1068
Mustang Panda;command-and-control
command-and-control;T1573.001
Sidewinder;command-and-control
command-and-control;T1105
SideCopy;execution
execution;T1204.002
Mustang Panda;initial-access
initial-access;T1566.002
Transparent Tribe;initial-access
initial-access;T1566.001
SideCopy;discovery
discovery;T1016
Gorgon Group;defense-evasion
defense-evasion;T1112
Sidewinder;defense-evasion
defense-evasion;T1027
Mustang Panda;execution
execution;T1059.005
Sidewinder;reconnaissance
reconnaissance;T1598.002
Sidewinder;discovery
discovery;T1016
Transparent Tribe;resource-development
resource-development;T1608.004
Mustang Panda;defense-evasion
defense-evasion;T1036.005
SideCopy;persistence
persistence;T1574.002
SideCopy;privilege-escalation
privilege-escalation;T1574.002
SideCopy;defense-evasion
defense-evasion;T1574.002
Mustang Panda;discovery
discovery;T1057
Transparent Tribe;resource-development
resource-development;T1584.001
SideCopy;resource-development
resource-development;T1584.001
Mustang Panda;defense-evasion
defense-evasion;T1070.004
Sidewinder;execution
execution;T1203
Mustang Panda;discovery
discovery;T1082
Sidewinder;collection
collection;T1074.001
Sidewinder;execution
execution;T1059.001
Transparent Tribe;defense-evasion
defense-evasion;T1036.005
BITTER;initial-access
initial-access;T1566.001
Mustang Panda;discovery
discovery;T1518
Mustang Panda;initial-access
initial-access;T1566.001
Sidewinder;defense-evasion
defense-evasion;T1218.005
Sidewinder;initial-access
initial-access;T1566.002
Sidewinder;discovery
discovery;T1518.001
SideCopy;execution
execution;T1106
BITTER;command-and-control
command-and-control;T1071.001
BITTER;command-and-control
command-and-control;T1095
Mustang Panda;defense-evasion
defense-evasion;T1027.001
SideCopy;discovery
discovery;T1518.001
Mustang Panda;resource-development
resource-development;T1608.001
Gorgon Group;persistence
persistence;T1547.001
Gorgon Group;privilege-escalation
privilege-escalation;T1547.001
Gorgon Group;resource-development
