threat-crank.py 0.2.1
I: searching for regions that match .* poland.*|.* polska.*|.* polish.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v5.0/enterprise-attack/enterprise-attack.json
Silence;collection
collection;T1125
Silence;collection
collection;T1113
Silence;defense-evasion
defense-evasion;T1107
Silence;defense-evasion
defense-evasion;T1027
Silence;execution
execution;T1106
Silence;defense-evasion
defense-evasion;T1223
Silence;execution
execution;T1223
Silence;execution
execution;T1204
Silence;execution
execution;T1059
Silence;execution
execution;T1035
Silence;defense-evasion
defense-evasion;T1064
Silence;execution
execution;T1064
Silence;execution
execution;T1053
execution;CAPEC-557
Silence;persistence
persistence;T1053
persistence;CAPEC-557
Silence;privilege-escalation
privilege-escalation;T1053
privilege-escalation;CAPEC-557
Silence;initial-access
initial-access;T1193
initial-access;CAPEC-163
