threat-crank.py 0.2.1
I: searching for regions that match .* saud.*|.* ksa.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v16.0/enterprise-attack/enterprise-attack.json
HEXANE;discovery
discovery;T1016
BITTER;command-and-control
command-and-control;T1105
HEXANE;credential-access
credential-access;T1555
HEXANE;defense-evasion
defense-evasion;T1027.010
BITTER;command-and-control
command-and-control;T1071.001
BITTER;resource-development
resource-development;T1588.002
HEXANE;reconnaissance
reconnaissance;T1589
APT33;credential-access
credential-access;T1552.001
APT33;credential-access
credential-access;T1003.005
HEXANE;discovery
discovery;T1082
APT33;collection
collection;T1560.001
BITTER;command-and-control
command-and-control;T1568
HEXANE;resource-development
resource-development;T1583.001
CopyKittens;collection
collection;T1560.003
HEXANE;credential-access
credential-access;T1110
CopyKittens;collection
collection;T1560.001
HEXANE;execution
execution;T1053.005
HEXANE;persistence
persistence;T1053.005
HEXANE;privilege-escalation
privilege-escalation;T1053.005
CopyKittens;execution
execution;T1059.001
CopyKittens;command-and-control
command-and-control;T1090
HEXANE;execution
execution;T1204.002
HEXANE;exfiltration
exfiltration;T1567.002
APT33;credential-access
credential-access;T1555.003
APT33;credential-access
credential-access;T1552.006
BITTER;initial-access
initial-access;T1566.001
APT33;defense-evasion
defense-evasion;T1027.013
HEXANE;resource-development
resource-development;T1585.001
BITTER;execution
execution;T1204.002
HEXANE;discovery
discovery;T1016.001
BITTER;defense-evasion
defense-evasion;T1027.013
HEXANE;privilege-escalation
privilege-escalation;T1546.003
HEXANE;persistence
persistence;T1546.003
APT33;initial-access
initial-access;T1566.001
HEXANE;discovery
discovery;T1069.001
APT33;credential-access
credential-access;T1003.001
APT33;initial-access
initial-access;T1566.002
HEXANE;discovery
discovery;T1018
HEXANE;lateral-movement
lateral-movement;T1021.001
HEXANE;resource-development
resource-development;T1586.002
HEXANE;credential-access
credential-access;T1110.003
BITTER;command-and-control
command-and-control;T1573
BITTER;privilege-escalation
privilege-escalation;T1068
HEXANE;command-and-control
command-and-control;T1102.002
BITTER;defense-evasion
defense-evasion;T1036.004
BITTER;resource-development
resource-development;T1608.001
HEXANE;resource-development
resource-development;T1588.002
CopyKittens;defense-evasion
defense-evasion;T1218.011
APT33;credential-access
credential-access;T1110.003
CopyKittens;defense-evasion
defense-evasion;T1564.003
APT33;credential-access
credential-access;T1003.004
APT33;execution
execution;T1053.005
APT33;persistence
persistence;T1053.005
APT33;privilege-escalation
privilege-escalation;T1053.005
APT33;credential-access
credential-access;T1555
HEXANE;credential-access
credential-access;T1555.003
HEXANE;execution
execution;T1059.001
APT33;privilege-escalation
privilege-escalation;T1546.003
APT33;persistence
persistence;T1546.003
APT33;command-and-control
command-and-control;T1105
HEXANE;resource-development
resource-development;T1608.001
APT33;exfiltration
exfiltration;T1048.003
HEXANE;reconnaissance
reconnaissance;T1589.002
APT33;resource-development
resource-development;T1588.002
HEXANE;resource-development
resource-development;T1585.002
BITTER;execution
execution;T1559.002
APT33;credential-access
credential-access;T1040
APT33;discovery
discovery;T1040
HEXANE;discovery
discovery;T1033
HEXANE;command-and-control
command-and-control;T1105
APT33;command-and-control
command-and-control;T1071.001
HEXANE;discovery
discovery;T1049
HEXANE;discovery
discovery;T1057
APT33;execution
execution;T1059.001
HEXANE;collection
collection;T1056.001
HEXANE;credential-access
credential-access;T1056.001
APT33;persistence
persistence;T1547.001
APT33;privilege-escalation
privilege-escalation;T1547.001
CopyKittens;resource-development
resource-development;T1588.002
HEXANE;discovery
discovery;T1518
APT33;defense-evasion
defense-evasion;T1078
APT33;persistence
persistence;T1078
APT33;privilege-escalation
privilege-escalation;T1078
APT33;initial-access
initial-access;T1078
BITTER;execution
execution;T1203
HEXANE;execution
execution;T1059.005
BITTER;resource-development
resource-development;T1583.001
APT33;command-and-control
command-and-control;T1573.001
APT33;execution
execution;T1059.005
APT33;command-and-control
command-and-control;T1132.001
BITTER;execution
execution;T1053.005
BITTER;persistence
persistence;T1053.005
BITTER;privilege-escalation
privilege-escalation;T1053.005
APT33;command-and-control
command-and-control;T1571
BITTER;command-and-control
command-and-control;T1095
HEXANE;discovery
discovery;T1010
APT33;defense-evasion
defense-evasion;T1078.004
APT33;persistence
persistence;T1078.004
APT33;privilege-escalation
privilege-escalation;T1078.004
APT33;initial-access
initial-access;T1078.004
APT33;execution
execution;T1203
HEXANE;reconnaissance
reconnaissance;T1591.004
APT33;execution
execution;T1204.002
HEXANE;resource-development
resource-development;T1583.002
CopyKittens;defense-evasion
defense-evasion;T1553.002
HEXANE;lateral-movement
lateral-movement;T1534
APT33;execution
execution;T1204.001
APT33;privilege-escalation
privilege-escalation;T1068
