threat-crank.py 0.2.1
I: searching for industries that match .* energy.*|.* gas.*|.* petrol.*|.* oil.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v15.0/ics-attack/ics-attack.json
APT33;collection
collection;T0852
APT33;initial-access
initial-access;T0865
OilRig;initial-access
initial-access;T0865
APT33;execution
execution;T0853
OilRig;execution
execution;T0853
OilRig;command-and-control
command-and-control;T0869
OilRig;persistence
persistence;T0859
OilRig;lateral-movement
lateral-movement;T0859
OilRig;initial-access
initial-access;T0817
