threat-crank.py 0.2.1
I: searching for industries that match .* govern.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v12.1/ics-attack/ics-attack.json
Dragonfly 2.0;impact-ics
impact-ics;T0882
Dragonfly 2.0;initial-access-ics
initial-access-ics;T0817
OilRig;initial-access-ics
initial-access-ics;T0865
Dragonfly 2.0;execution-ics
execution-ics;T0853
Dragonfly 2.0;collection-ics
collection-ics;T0811
Dragonfly 2.0;persistence-ics
persistence-ics;T0859
Dragonfly 2.0;lateral-movement-ics
lateral-movement-ics;T0859
OilRig;command-and-control-ics
command-and-control-ics;T0869
Dragonfly;initial-access-ics
initial-access-ics;T0862
OilRig;persistence-ics
persistence-ics;T0859
OilRig;lateral-movement-ics
lateral-movement-ics;T0859
OilRig;execution-ics
execution-ics;T0853
Dragonfly 2.0;collection-ics
collection-ics;T0852
Dragonfly 2.0;initial-access-ics
initial-access-ics;T0865
Dragonfly 2.0;initial-access-ics
initial-access-ics;T0862
Dragonfly 2.0;evasion-ics
evasion-ics;T0872
Dragonfly;initial-access-ics
initial-access-ics;T0817
OilRig;initial-access-ics
initial-access-ics;T0817
Dragonfly 2.0;command-and-control-ics
command-and-control-ics;T0885
