threat-crank.py 0.2.1
I: searching for regions that match .* america.*|.* united states.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v13.1/ics-attack/ics-attack.json
ALLANITE;initial-access
initial-access;T0817
ALLANITE;initial-access
initial-access;T0865
ALLANITE;persistence
persistence;T0859
ALLANITE;lateral-movement
lateral-movement;T0859
APT33;collection
collection;T0852
ALLANITE;collection
collection;T0852
APT33;initial-access
initial-access;T0865
APT33;execution
execution;T0853
