threat-crank.py 0.2.1
I: searching for regions that match .* iran.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v12.0/ics-attack/ics-attack.json
APT33;initial-access-ics
initial-access-ics;T0865
APT33;execution-ics
execution-ics;T0853
OilRig;execution-ics
execution-ics;T0853
APT33;collection-ics
collection-ics;T0852
OilRig;initial-access-ics
initial-access-ics;T0817
OilRig;command-and-control-ics
command-and-control-ics;T0869
OilRig;initial-access-ics
initial-access-ics;T0865
OilRig;persistence-ics
persistence-ics;T0859
OilRig;lateral-movement-ics
lateral-movement-ics;T0859
