threat-crank.py 0.2.1
I: searching for industries that match .* govern.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v16.0/mobile-attack/mobile-attack.json
Windshift;collection
collection;T1636.003
collection;APP-13
Windshift;defense-evasion
defense-evasion;T1633.001
Windshift;defense-evasion
defense-evasion;T1628.003
Windshift;discovery
discovery;T1420
discovery;STA-41
BITTER;initial-access
initial-access;T1660
initial-access;AUT-9
Windshift;collection
collection;T1429
collection;APP-19
Windshift;collection
collection;T1533
collection;STA-41
Windshift;collection
collection;T1512
collection;APP-19
Windshift;discovery
discovery;T1426
discovery;APP-12
Windshift;collection
collection;T1636.004
collection;APP-13
Windshift;collection
collection;T1417.001
collection;AUT-13
Windshift;credential-access
credential-access;T1417.001
credential-access;AUT-13
Windshift;defense-evasion
defense-evasion;T1632.001
defense-evasion;STA-7
Windshift;collection
collection;T1430
collection;APP-24
Windshift;discovery
discovery;T1430
discovery;APP-24
Windshift;defense-evasion
defense-evasion;T1406
defense-evasion;APP-21
Windshift;command-and-control
command-and-control;T1521.001
Windshift;defense-evasion
defense-evasion;T1627.001
Windshift;defense-evasion
defense-evasion;T1407
defense-evasion;APP-20
