threat-crank.py 0.2.1
I: searching for industries that match .* military.*|.* defen[cs]e.*|.* armed.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v16.1/mobile-attack/mobile-attack.json
APT-C-23;discovery
discovery;T1422
APT-C-23;defense-evasion
defense-evasion;T1655.001
defense-evasion;APP-14
defense-evasion;APP-31
Sandworm Team;collection
collection;T1409
collection;AUT-0
Sandworm Team;initial-access
initial-access;T1660
initial-access;AUT-9
APT-C-23;initial-access
initial-access;T1660
initial-access;AUT-9
