threat-crank.py 0.2.1
I: searching for regions that match .* russia.*
I: using https://raw.githubusercontent.com/mitre/cti/ATT&CK-v19.0/mobile-attack/mobile-attack.json
Kimsuky;initial-access
initial-access;T1660
initial-access;AUT-9
Sandworm Team;collection
collection;T1676
Sandworm Team;persistence
persistence;T1676
Star Blizzard;collection
collection;T1676
Star Blizzard;persistence
persistence;T1676
Sandworm Team;collection
collection;T1409
collection;AUT-0
Sandworm Team;initial-access
initial-access;T1660
initial-access;AUT-9
